name,ALAND,MAX,AverageSumofLight,SumofLight,Population2000,Population2014,PopulationChange,Density2000,Density2014,LandArea,GMP2013,SOL_percapita
Port St. Lucie,2888884324,127.13,3.17,55833,"319,426",523552,"204,126","1,687.70","1,921.00","1,115.40","25,897",2.155964011
Phoenix,37723390850,289.85,2.98,627892,"3,251,876",4489109,"1,237,233","5,028.40","4,394.90","14,565.80","197,079",3.185991404
Salt Lake City,19902220729,291.16,1.38,176098,"968,858",1153340,"184,482","4,738.40","4,563.50","9,555.30","70,719",2.49010874
Cleveland,5174453678,344.33,12.03,389613,"2,148,143",2063598,"-84,545","4,581.70","3,808.40","1,997.30","114,448",3.404279673
Pittsburg,13678951234,260.07,3.82,322937,"2,431,087",2355968,"-75,119","3,290.00","2,990.80","5,281.50","122,891",2.627832795
Milwaukee,3767862880,223.12,10.53,259387,"1,500,741",1572245,"71,504","5,454.80","5,257.60","1,454.80","89,052",2.912758838
Rochester,8459596944,160.65,2.79,153651,"1,037,831",1083393,"45,562","3,096.90","2,909.00","2,928.10","48,966",3.137912021
Youngstown,4409152159,210.48,4.21,117217,"602,964",553263,"-49,701","1,841.70","1,569.80","1,702.50","17,590",6.663843093
Denver,21615568416,304.95,3.1,407385,"2,179,240",2754258,"575,018","5,076.60","4,803.70","8,346.10","166,150",2.451910924
Los Angeles,12558109704,385.33,14.88,1064008,"12,365,627",13262220,"896,593","12,442.00","12,113.90","4,848.50","775,967",1.371202641
San Jose,6938374677,147.6,3.16,128330,"1,735,819",1952872,"217,053","8,300.40","8,417.70","2,678.80","192,184",0.667745494
Nashville,16321406859,300.05,3.58,340315,"1,311,789",1792649,"480,860","1,660.60","1,695.30","5,688.70","95,124",3.577593457
Portland,17311274657,161.45,1.9,223418,"1,927,881",2348247,"420,366","3,994.40","4,372.60","6,683.70","159,266",1.402797835
Raleigh,5485830159,189.53,5.45,174051,"797,071",1242974,"445,903","1,694.10","1,850.10","2,118.20","62,758",2.773367539
Orlando,9011387964,240.05,6.19,341311,"1,644,561",2321418,"676,857","2,856.80","2,774.60","3,478.50","103,992",3.282089007
Las Vegas,20437567839,2784.16,3.77,453510,"1,375,765",2069681,"693,916","6,781.80","6,527.20","7,891.40","87,359",5.191336897
Philadelphia,11919740470,273.47,8.73,653505,"5,687,147",6051170,"364,023","8,064.30","7,773.20","4,602.10","358,091",1.824969072
New York,21479624680,430.89,9.41,1360196,"18,328,913",20092883,"1,763,970","31,683.60","31,251.40","6,686.90","1,377,989",0.987087705
Chicago,18639937202,410.67,13.55,1596915,"9,098,316",9554598,"456,282","9,829.60","8,613.40","7,196.80","550,793",2.899301552
Boston,9032948795,200.34,7.36,443674,"4,391,344",4732161,"340,817","7,912.20","7,980.10","3,487.40","349,652",1.268901651
Washington,16177768536,389.4,6.75,669307,"4,796,183",6033737,"1,237,554","6,251.80","6,388.10","5,598.30","437,085",1.531297116
Houston,21393090794,986.23,9.81,1177516,"4,715,407",6490180,"1,774,773","4,258.40","4,109.60","8,827.50","456,177",2.581269989
Atlanta,22485752743,268.7,6.05,775243,"4,247,981",5614323,"1,366,342","2,213.30","2,173.00","8,338.50","288,175",2.690181313
